,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hưng Yên,1252731,626817,625914,152918,76235,76683,1099813,550582,549231
1,0-4 ,108829,58866,49963,13093,7191,5902,95736,51675,44061
2,5-9,113127,61274,51853,14534,7871,6663,98593,53403,45190
3,10-14,88915,47949,40966,12232,6558,5674,76683,41391,35292
4,15-19 ,74434,39161,35273,9044,4714,4330,65390,34447,30943
5,20-24 ,78018,40418,37600,7945,3954,3991,70073,36464,33609
6,25-29 ,107839,55504,52335,12334,6092,6242,95505,49412,46093
7,30-34 ,101792,52289,49503,12710,6140,6570,89082,46149,42933
8,35-39 ,89435,45582,43853,12247,6115,6132,77188,39467,37721
9,40-44 ,77466,38922,38544,10536,5296,5240,66930,33626,33304
10,45-49 ,79619,39476,40143,9906,4915,4991,69713,34561,35152
11,50-54 ,72467,34947,37520,8362,4017,4345,64105,30930,33175
12,55-59 ,76475,35827,40648,8841,4252,4589,67634,31575,36059
13,60-64 ,60968,28629,32339,7307,3587,3720,53661,25042,28619
14,65-69 ,39370,16896,22474,4594,1963,2631,34776,14933,19843
15,70-74 ,25866,11133,14733,3422,1475,1947,22444,9658,12786
16,75-79 ,19718,7995,11723,2204,925,1279,17514,7070,10444
17,80-84 ,17521,6217,11304,1724,646,1078,15797,5571,10226
18,85+,20872,5732,15140,1883,524,1359,18989,5208,13781
